1,2,3,4,5
116892,288,26-8-2025,18:51,Finger
116893,350085,26-8-2025,19:26,Finger
116894,350087,26-8-2025,20:12,Finger
116895,7,27-8-2025,07:49,Finger
116896,4,27-8-2025,07:53,Finger
116897,350038,27-8-2025,08:29,Finger
116898,30,27-8-2025,08:45,Finger
116899,31,27-8-2025,09:01,Finger
116900,350083,27-8-2025,09:11,Finger
116901,350085,27-8-2025,09:15,Finger
116902,32,27-8-2025,09:21,Finger
116903,35086,27-8-2025,09:30,Finger
116904,350016,27-8-2025,09:35,Finger
116905,350087,27-8-2025,09:48,Finger
116906,288,27-8-2025,09:52,Finger
116907,350081,27-8-2025,14:25,Finger
116908,4,27-8-2025,16:48,Finger
116909,7,27-8-2025,16:55,Finger
116910,30,27-8-2025,17:44,Finger
116911,350081,27-8-2025,17:54,Finger
116912,31,27-8-2025,18:01,Finger
116913,350083,27-8-2025,18:15,Finger
116914,35086,27-8-2025,18:26,Finger
116915,350016,27-8-2025,18:33,Finger
116916,32,27-8-2025,18:46,Finger
116917,288,27-8-2025,18:48,Finger
116918,350085,27-8-2025,18:49,Finger
116919,350038,27-8-2025,19:57,Finger
116920,350087,27-8-2025,19:57,Finger
116921,4,28-8-2025,07:56,Finger
116922,7,28-8-2025,08:25,Finger
116923,30,28-8-2025,08:37,Finger
116924,350016,28-8-2025,08:50,Finger
116925,31,28-8-2025,09:03,Finger
116926,350083,28-8-2025,09:09,Finger
116927,35086,28-8-2025,09:25,Finger
116928,32,28-8-2025,09:26,Finger
116929,350085,28-8-2025,09:41,Finger
116930,288,28-8-2025,09:49,Finger
116931,350081,28-8-2025,10:08,Finger
116932,4,28-8-2025,16:44,Finger
116933,7,28-8-2025,17:47,Finger
116934,30,28-8-2025,17:58,Finger
116935,35086,28-8-2025,18:23,Finger
116936,350083,28-8-2025,18:26,Finger
116937,288,28-8-2025,18:39,Finger
116938,31,28-8-2025,18:41,Finger
116939,350016,28-8-2025,18:42,Finger
116940,32,28-8-2025,18:42,Finger
116941,350081,28-8-2025,19:02,Finger
116942,350085,28-8-2025,19:16,Finger
116943,4,29-8-2025,07:50,Finger
116944,7,29-8-2025,07:51,Finger
116945,350038,29-8-2025,08:26,Finger
116946,350081,29-8-2025,08:41,Finger
116947,350016,29-8-2025,08:49,Finger
116948,350083,29-8-2025,09:13,Finger
116949,31,29-8-2025,09:17,Finger
116950,350085,29-8-2025,09:17,Finger
116951,350087,29-8-2025,09:25,Finger
116952,35086,29-8-2025,09:27,Finger
116953,288,29-8-2025,09:52,Finger
116954,32,29-8-2025,10:12,Finger
116955,4,29-8-2025,16:47,Finger
116956,7,29-8-2025,16:53,Finger
116957,30,29-8-2025,17:45,Finger
116958,350081,29-8-2025,17:52,Finger
116959,31,29-8-2025,17:54,Finger
116960,350083,29-8-2025,18:22,Finger
116961,35086,29-8-2025,18:24,Finger
116962,350016,29-8-2025,18:27,Finger
116963,350087,29-8-2025,18:41,Finger
116964,288,29-8-2025,18:52,Finger
116965,32,29-8-2025,19:04,Finger
116966,350085,29-8-2025,19:37,Finger
116967,7,30-8-2025,07:43,Finger
116968,4,30-8-2025,07:52,Finger
116969,350038,30-8-2025,08:29,Finger
116970,30,30-8-2025,08:31,Finger
116971,350083,30-8-2025,08:47,Finger
116972,350080,30-8-2025,08:59,Finger
116973,350085,30-8-2025,09:14,Finger
116974,350016,30-8-2025,09:14,Finger
116975,350087,30-8-2025,09:20,Finger
116976,35086,30-8-2025,09:21,Finger
116977,288,30-8-2025,09:58,Finger
116978,4,30-8-2025,16:46,Finger
116979,7,30-8-2025,16:47,Finger
116980,30,30-8-2025,17:46,Finger
116981,350080,30-8-2025,18:03,Finger
116982,35086,30-8-2025,18:23,Finger
116983,350016,30-8-2025,18:27,Finger
116984,288,30-8-2025,18:46,Finger
116985,350038,30-8-2025,19:48,Finger
116986,350085,30-8-2025,20:35,Finger
116987,350087,30-8-2025,21:20,Finger
116988,350083,30-8-2025,21:20,Finger
116989,4,31-8-2025,08:10,Finger
116990,350038,31-8-2025,08:40,Finger
116991,350083,31-8-2025,09:15,Finger
116992,32,31-8-2025,09:34,Finger
116993,350085,31-8-2025,09:34,Finger
116994,35086,31-8-2025,09:46,Finger
116995,350087,31-8-2025,09:46,Finger
116996,350081,31-8-2025,10:17,Finger
116997,350081,31-8-2025,14:51,Finger
116998,350081,31-8-2025,14:56,Finger
116999,4,31-8-2025,15:46,Finger
117000,350083,31-8-2025,18:19,Finger
117001,35086,31-8-2025,18:27,Finger
117002,350087,31-8-2025,18:29,Finger
117003,32,31-8-2025,19:46,Finger
